Altitude (m),Velocity (m/s),Thrust (N),Mach Number
0,-0.18464666,36674.15568,-0.0005426092334779769
0,10.38474582,35892.62569,0.030516982918910227
0,17.95477898,35415.94517,0.05276255124032188
0,25.52481215,34978.195510000005,0.07500811959111987
0,33.09484532,34618.30755,0.09725368794191788
0,40.66487849,34269.542689999995,0.11949925629271589
0,48.23491166,33948.58558,0.1417448246435139
0,56.21785573,33666.04059,0.16520378763109383
0,63.37497799,33434.58703,0.18623596131572354
0,70.94501116,33191.491630000004,0.2084815296665216
0,78.51504433,33004.01173,0.23072709801731955
0,86.0850775,32822.093389999995,0.25297266636811755
0,92.62283342,32702.64895,0.2721847481269607
0,102.6015135,32551.073910000003,0.30150845183939584
0,110.1715467,32447.01727,0.3237540202783529
0,117.7415798,32409.699230000002,0.3459995884234464
0,125.311613,32322.32724,0.3682451568624035
0,131.8493689,32286.306060000003,0.38745723856247394
0,141.1398642,32280.1959,0.41475861803699976
0,148.70989730000002,32265.124060000002,0.4370041861820933
0,156.2799305,32250.05223,0.45924975462105033
0,163.8499637,32246.103489999998,0.48149532306000736
0,171.4199968,32236.593210000003,0.5037408912051009
0,178.30184519999997,32234.744939999997,0.5239641353473758
0,189.3128025,32247.48365,0.5563213255636069
0,196.8828357,32326.958169999998,0.5785668940025639
0,204.4528689,32317.447889999996,0.6008124624415211
0,212.022902,32330.183810000002,0.6230580305866146
0,219.5929352,32420.781430000003,0.6453035990255717
0,227.16296839999998,32433.51734,0.6675491674645286
0,241.6148499,32476.5384,0.7100179797518972
0,249.184883,32500.397419999998,0.7322635478969908
0,256.7549162,32490.887130000003,0.7545091163359479
0,264.3249494,32386.830489999997,0.7767546847749048
0,271.8949825,32338.38935,0.7990002529199984
0,279.4650157,32223.20961,0.8212458213589554
0,284.97049439999995,32130.645160000004,0.8374244166140026
0,298.04600619999997,31921.788660000002,0.8758485800141435
0,305.6160394,31728.747219999997,0.8980941484531005
0,313.1860725,31468.96717,0.9203397165981942
0,320.7561057,31187.09925,0.9425852850371511
0,325.2293071,31012.16892,0.9557303935533119
4572,47.65938342,22203.63091,0.14788710611525122
4572,57.86949933,21934.655880000002,0.17956910421675298
4572,64.75134766,21773.37651,0.20092348526862128
4572,75.07412016,21557.10237,0.2329550568619388
4572,82.64415333,21458.60728,0.25644487604071486
4572,90.2141865,21387.91994,0.27993469521949105
4572,97.78421967,21350.601909999998,0.3034245143982672
4572,105.0101604,21320.39001,0.3258466144515294
4572,117.053395,21359.76321,0.36321678136211644
4572,124.6234282,21422.55308,0.38670660063398266
4572,132.1934613,21474.21985,0.4101964195955487
4572,139.7634945,21587.06367,0.43368623886741486
4572,147.3335277,21683.222840000002,0.45717605813928097
4572,152.8390063,21798.66038,0.4742595627821836
4572,163.8499637,22018.41236,0.5084265726885889
4572,171.4199968,22164.625480000002,0.531916391650155
4572,178.99003000000002,22355.331009999998,0.5554062109220212
4572,186.5600632,22507.10568,0.5788960301938874
4572,194.1300964,22697.81121,0.6023858494657536
4572,201.7001295,22916.32449,0.6258756684273197
4572,209.2701627,23134.83777,0.6493654876991858
4572,217.7577756,23409.66765,0.6757025575380023
4572,224.41022900000002,23605.233640000002,0.6963451259326181
4572,231.9802622,23857.11622,0.7198349452044842
4572,239.55029539999998,24120.1219,0.7433247644763503
4572,247.12032850000003,24366.44293,0.7668145834379165
4572,254.6903617,24579.394659999998,0.7903044027097826
4572,262.2603949,24814.5926,0.8137942219816487
4572,269.830428,24999.736569999997,0.8372840409432148
4572,277.4004612,25196.00365,0.8607738602150811
4572,284.97049439999995,25358.90143,0.8842636794869471
4572,290.13188060000004,25449.744280000003,0.900279465128456
4572,300.1105607,25684.69698,0.9312433177203795
4572,307.68059389999996,25786.4177,0.9547331369922455
4572,315.250627,25899.26153,0.9782229559538117
4572,322.8206602,25989.85915,1.001712775225678
4572,330.3906934,26041.52592,1.025202594497544
4572,337.96072660000004,26093.19269,1.0486924137694102
4572,345.53075970000003,26094.8055,1.0721822327309765
4572,353.10079289999993,26063.04902,1.0956720520028422
4572,360.67082610000006,26009.04633,1.119161871274709
4572,366.8644896,25855.87037,1.138380814230699
4572,379.25181660000004,25685.37918,1.1768187001426802
4572,386.8218497,25542.39169,1.200308519104246
4572,394.3918829,25293.73474,1.2237983383761122
4572,400.30757850000003,25060.74335,1.2421547467088228
7620,75.18677675,15656.472569999998,0.2427968689332951
7620,85.39689267,15391.205240000001,0.27576788170944777
7620,92.96692583,15322.37175,0.30021340828229975
7620,100.536959,15196.06891,0.3246589348874443
7620,108.10699220000001,15175.435519999999,0.34910446158946634
7620,115.6770253,15126.994380000002,0.37354998796856337
7620,123.2470585,15134.16875,0.39799551467058536
7620,130.54891999999998,15164.2429,0.4215750480169802
7620,139.7634945,15224.65005,0.45133120905832436
7620,147.3335277,15287.439919999999,0.4757767357603463
7620,154.9035608,15405.845290000001,0.5002222621394434
7620,162.473594,15535.373759999999,0.5246677888414654
7620,170.04362719999997,15642.65604,0.5491133155434873
7620,177.61366040000001,15805.55381,0.5735588422455095
7620,183.119139,15936.56369,0.5913374068261391
7620,196.8828357,16248.51605,0.6357838189235632
7620,204.4528689,16439.221569999998,0.6602293456255852
7620,212.022902,16629.9271,0.6846748720046822
7620,219.5929352,16854.001930000002,0.7091203987067043
7620,227.16296839999998,17072.515209999998,0.7335659254087262
7620,234.7330015,17313.2747,0.7580114517878234
7620,242.3030347,17531.78798,0.7824569784898454
7620,249.8730679,17772.547459999998,0.8069025051918673
7620,256.7549162,18017.87921,0.829125711079117
7620,267.5938273,18328.77092,0.8641272604403393
7620,274.64772189999996,18570.09389,0.8869060467734756
7620,282.21775499999995,18833.099580000002,0.9113515731525726
7620,289.78778819999997,19112.78991,0.9357970998545947
7620,297.3578214,19392.48025,0.9602426265566167
7620,304.92785449999997,19649.92438,0.9846881529357138
7620,312.4978877,19912.93006,1.009133679637736
7620,320.0679209,20203.7435,1.0335792063397578
7620,327.637954,20488.99538,1.0580247327188548
7620,335.2079872,20746.43951,1.0824702594208768
7620,349.6598687,21206.57685,1.1291389920101484
7620,357.22990189999996,21391.720830000002,1.1535845187121705
7620,364.7999351,21504.56465,1.1780300454141925
7620,372.3699682,21639.65467,1.2024755717932896
7620,379.94000139999997,21746.93695,1.2269210984953116
7620,387.51003460000004,21748.549759999998,1.2513666251973337
7620,395.0800677,21683.42397,1.2758121515764305
7620,402.6501009,21627.56744,1.3002576782784525
7620,410.2201341,21466.04144,1.3247032049804746
7620,416.6684994,21225.67994,1.3455265860622831
10668,90.51542043,10219.79002,0.30524320871392374
10668,103.97788320000001,10303.14327,0.35064238283900534
10668,111.5479163,10360.37159,0.37617064291377994
10668,119.11794950000001,10400.91526,0.4016989033257825
10668,126.6879827,10485.95133,0.42722716373778497
10668,134.2580158,10548.7412,0.4527554238125596
10668,140.4516793,10618.82177,0.4736421822394995
10668,153.52719119999998,10769.24142,0.5177364502545245
10668,161.0972243,10882.08524,0.5432647103292992
10668,168.6672575,10994.92907,0.5687929707413018
10668,176.2372907,11079.96514,0.5943212311533042
10668,183.8073239,11237.30136,0.6198494915653068
10668,191.37735700000002,11366.82984,0.6453777516400815
10668,198.6032978,11487.89212,0.6697456366401252
10668,209.9583475,11727.233390000001,0.7080380269209011
10668,217.5283807,11873.44651,0.7335662873329036
10668,225.0984139,12041.905840000001,0.7590945477449061
10668,232.66844700000001,12232.61137,0.7846228078196809
10668,240.23848019999997,12395.50914,0.8101510682316831
10668,247.8085134,12586.214670000001,0.8356793286436858
10668,255.3785465,12771.35865,0.8612075887184604
10668,262.9485797,12973.18728,0.8867358491304629
10668,268.7981508,13118.78106,0.9064622321454441
10668,279.4650157,13425.16935,0.9424338716023026
10668,287.03504889999994,13649.244180000002,0.9679621320143049
10668,294.605082,13856.63436,0.9934903920890797
10668,302.1751152,14069.58609,1.0190186525010823
10668,309.74514839999995,14293.660919999998,1.0445469129130847
10668,317.3151815,14506.61265,1.0700751729878595
10668,324.8852147,14741.810580000001,1.095603433399862
10668,332.45524789999996,14949.20076,1.1211316938118643
10668,340.02528110000003,15178.837140000001,1.1466599542238671
10668,347.5953142,15363.981119999999,1.1721882142986417
10668,355.1653474,15571.3713,1.1977164747106441
10668,359.2944564,15605.11472,1.2116409803286041
10668,370.30541370000003,15975.028559999999,1.2487729951974214
10668,377.8754469,16187.980290000001,1.2743012556094238
10668,385.44548010000005,16356.43962,1.2998295160214266
10668,393.0155132,16558.26824,1.325357776096201
10668,400.58554639999994,16682.23517,1.3508860365082034
10668,409.3531681,16853.67394,1.3804528989034073
13716,137.01075519999998,6557.651299,0.46433385427486684
13716,144.58078830000002,6575.9487659999995,0.48998893982767855
13716,152.1508215,6644.300186,0.5156440257193933
13716,159.7208547,6701.528506000001,0.541299111611108
13716,167.2908878,6730.949073999999,0.5669541971639196
13716,174.860921,6843.792897,0.5926092830556343
13716,182.4309542,6901.021216,0.618264368947349
13716,187.7809178,6944.037301,0.6363955675893244
13716,201.7001295,7143.767636,0.6835682235439192
13716,209.2701627,7217.680606999999,0.7092233094356339
13716,216.84019590000003,7330.5244299999995,0.7348783953273488
13716,224.41022900000002,7465.6144540000005,0.7605334808801604
13716,231.9802622,7561.773627,0.786188566771875
13716,239.55029539999998,7674.61745,0.8118436526635897
13716,247.12032850000003,7804.1459239999995,0.8374987382164014
13716,254.6903617,7922.551298,0.8631538241081161
13716,260.8840252,8002.960454000001,0.8841443488361819
13716,274.64772189999996,8242.294851,0.9307899594559622
13716,282.21775499999995,8382.946426,0.9564450450087737
13716,289.78778819999997,8506.91335,0.9821001309004885
13716,297.3578214,8653.126476000001,1.0077552167922033
13716,304.92785449999997,8788.2165,1.0334103023450147
13716,312.4978877,8912.183423999999,1.0590653882367296
13716,320.0679209,9097.327401999999,1.0847204741284444
13716,327.637954,9215.732776,1.110375559681256
13716,335.2079872,9367.507452,1.1360306455729707
13716,342.7780204,9508.159027,1.1616857314646856
13716,350.3480536,9659.933703,1.1873408173564004
13716,357.9180867,9789.462177,1.2129959029092119
13716,362.0471957,9912.190407,1.2269895860612556
13716,375.81089239999994,10145.16875,1.273635196681036
13716,383.3809256,10296.94342,1.299290282572751
13716,390.9509587,10437.595,1.3249453681255625
13716,398.52099189999996,10556.00037,1.3506004540172771
13716,408.38701539999994,10719.50895,1.3840367248518852
13716,267.7426075,8123.727062999999,0.9073883047546176
13716,194.38602269999998,7042.418111,0.6587804804498499
13716,124.2352527,6493.523883,0.4210372655693753
13716,130.6468823,6485.468908,0.4427664844179611
16764,155.3933721,3915.066865,0.5266331339509438
16764,163.8499637,3948.7768579999997,0.5552927947631519
16764,177.61366040000001,4059.559425,0.6019384053829324
16764,185.1836935,4139.0339460000005,0.6275934909357439
16764,192.7537267,4196.262265,0.6532485768274586
16764,200.32375990000003,4242.367484,0.6789036627191735
16764,207.893793,4316.280455,0.704558748271985
16764,215.4638262,4373.508774,0.7302138341636997
16764,223.0338594,4458.544845,0.7558689200554145
16764,229.22752290000003,4520.680336,0.7768594447834803
16764,243.6794044,4638.385068,0.8258373358156337
16764,251.2494375,4712.298039,0.8514924213684452
16764,258.8194707,4775.087909000001,0.87714750726016
16764,266.38950389999997,4843.439329,0.9028025931518746
16764,273.959537,4928.4754,0.9284576787046863
16764,281.5295702,4996.826821,0.954112764596401
16764,289.0996034,5070.739791,0.9797678504881157
16764,296.6696365,5166.898963000001,1.0054229360409275
16764,304.2396697,5229.688833,1.031078021932642
16764,311.8097029,5331.4095560000005,1.0567331078243567
16764,320.464668,5403.801183,1.086065062805782
16764,331.07887819999996,5512.978921,1.1220369624209268
16764,338.6489114,5620.261194,1.1476920483126416
16764,346.21894460000004,5710.858816,1.1733471342043567
16764,353.7889777,5779.210236,1.199002219757168
16764,361.3590109,5875.369408,1.2246573056488828
16764,368.9290441,5949.282379,1.2503123915405976
16764,376.4990772,6039.88,1.275967477093409
16764,384.0691104,6130.477621999999,1.301622562985124
16764,390.26277389999996,6197.380156,1.3226130877131894
16764,405.40284019999996,6365.068777,1.3739232591577157
16764,411.0968962,6387.947667,1.3932205980058776
16764,171.1910101,3987.0154520000006,0.5801718370277305
19812,205.75331780000002,2745.050793,0.6973046090028091
19812,215.80791859999997,2788.432451,0.731379974369886
19812,228.539338,2872.147969,0.774527164032204
19812,236.10937119999997,2862.637684,0.8001822499239187
19812,243.6794044,2947.6737550000003,0.8258373358156337
19812,251.2494375,2954.848121,0.8514924213684452
19812,258.8194707,3006.51489,0.87714750726016
19812,266.38950389999997,3058.181659,0.9028025931518746
19812,273.959537,3115.409979,0.9284576787046863
19812,281.5295702,3161.515198,0.954112764596401
19812,289.0996034,3202.058866,0.9797678504881157
19812,296.6696365,3264.848736,1.0054229360409275
19812,304.2396697,3272.023102,1.031078021932642
19812,311.8097029,3345.936072,1.0567331078243567
19812,319.379736,3386.4797409999996,1.0823881933771684
19812,326.9497692,3438.14651,1.108043279268883
19812,334.51980239999995,3478.6901780000003,1.1336983651605976
19812,342.0898356,3558.1646990000004,1.1593534510523127
19812,349.6598687,3593.1468170000003,1.1850085366051242
19812,357.22990189999996,3628.128935,1.2106636224968388
19812,364.7999351,3668.672604,1.2363187083885538
19812,369.9613213,3708.0711090000004,1.253810812159157
19812,380.62818619999996,3793.387772,1.2899611602454528
19812,388.19821939999997,3867.300743,1.3156162461371677
19812,395.7682526,3913.405961,1.3412713320288823
19812,403.3382857,3942.826529,1.366926417581694
19812,410.6634133,4013.07464,1.3917515105212825
